Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSCAFG00845000227,ENSCAFG00845000227,ENSG00000284329,MIR9-3
ENSCAFG00845000230,ZNF583,ENSG00000198440,ZNF583
ENSCAFG00845000233,WDR37,ENSG00000047056,WDR37
ENSCAFG00845000239,PHLDB3,ENSG00000176531,PHLDB3
ENSCAFG00845000240,ENSCAFG00845000240,ENSG00000215695,RSC1A1
ENSCAFG00845000242,ENSCAFG00845000242,ENSG00000104059,FAM189A1
ENSCAFG00845000246,HTR3A,ENSG00000166736,HTR3A
ENSCAFG00845000247,HRC,ENSG00000130528,HRC
ENSCAFG00845000251,ENSCAFG00845000251,ENSG00000267710,EDDM13
ENSCAFG00845000252,U6,ENSG00000206722,RNU6-1074P
ENSCAFG00845000256,TRMT11,ENSG00000066651,TRMT11
ENSCAFG00845000257,GPATCH1,ENSG00000076650,GPATCH1
ENSCAFG00845000259,CCDC153,ENSG00000248712,CCDC153
ENSCAFG00845000261,SLBP,ENSG00000163950,SLBP
ENSCAFG00845000266,ARL15,ENSG00000185305,ARL15
ENSCAFG00845000267,NUDT5,ENSG00000165609,NUDT5
ENSCAFG00845000271,TEX46,ENSG00000227868,TEX46
ENSCAFG00845000272,ZSCAN5B,ENSG00000197213,ZSCAN5B
ENSCAFG00845000272,ZSCAN5B,ENSG00000204532,ZSCAN5C
ENSCAFG00845000272,ZSCAN5B,ENSG00000131848,ZSCAN5A
ENSCAFG00845000273,MRPS27,ENSG00000113048,MRPS27
ENSCAFG00845000275,GALR1,ENSG00000166573,GALR1
ENSCAFG00845000278,CAPNS1,ENSG00000126247,CAPNS1
ENSCAFG00845000279,GRIA4,ENSG00000152578,GRIA4
ENSCAFG00845000280,MC4R,ENSG00000166603,MC4R
ENSCAFG00845000281,AGMAT,ENSG00000116771,AGMAT
ENSCAFG00845000283,LACTBL1,ENSG00000215906,LACTBL1
ENSCAFG00845000284,GALP,ENSG00000197487,GALP
ENSCAFG00845000286,PPFIA3,ENSG00000177380,PPFIA3
ENSCAFG00845000287,RHPN2,ENSG00000131941,RHPN2
ENSCAFG00845000288,PFAS,ENSG00000178921,PFAS
ENSCAFG00845000289,HTR3B,ENSG00000149305,HTR3B
ENSCAFG00845000294,SCAF8,ENSG00000213079,SCAF8
ENSCAFG00845000295,RHCG,ENSG00000140519,RHCG
ENSCAFG00845000297,IDI1,ENSG00000067064,IDI1
ENSCAFG00845000299,U6,ENSG00000199272,RNU6-349P
ENSCAFG00845000302,FAM53A,ENSG00000174137,FAM53A
ENSCAFG00845000304,PMAIP1,ENSG00000141682,PMAIP1
ENSCAFG00845000306,U6,ENSG00000201770,RNU6-384P
ENSCAFG00845000307,ZNF444,ENSG00000167685,ZNF444
ENSCAFG00845000308,ZBTB45,ENSG00000083807,SLC27A5
ENSCAFG00845000309,ENSCAFG00845000309,ENSG00000207732,MIR218-1
ENSCAFG00845000310,HRH2,ENSG00000113749,HRH2
ENSCAFG00845000315,DNAJC16,ENSG00000116138,DNAJC16
ENSCAFG00845000316,SIPA1L2,ENSG00000116991,SIPA1L2
ENSCAFG00845000317,NKX1-1,ENSG00000235608,NKX1-1
ENSCAFG00845000320,PDZD3,ENSG00000172367,PDZD3
ENSCAFG00845000321,GTPBP4,ENSG00000107937,GTPBP4
ENSCAFG00845000323,EPHB2,ENSG00000133216,EPHB2
ENSCAFG00845000327,CENPW,ENSG00000203760,CENPW
ENSCAFG00845000329,ZNF787,ENSG00000142409,ZNF787
ENSCAFG00845000330,PTCD2,ENSG00000049883,PTCD2
ENSCAFG00845000331,FAAP24,ENSG00000131944,FAAP24
ENSCAFG00845000334,ENSCAFG00845000334,ENSG00000168439,STIP1
ENSCAFG00845000336,U6,ENSG00000222679,RNU6-1267P
ENSCAFG00845000338,SEC61A2,ENSG00000065665,SEC61A2
ENSCAFG00845000339,FER,ENSG00000151422,FER
ENSCAFG00845000340,LIN7B,ENSG00000104863,LIN7B
ENSCAFG00845000341,TICRR,ENSG00000140534,TICRR
ENSCAFG00845000343,U6,ENSG00000206725,RNU6-1027P
ENSCAFG00845000343,U6,ENSG00000238941,RNU6-953P
ENSCAFG00845000344,ADO,ENSG00000181915,ADO
ENSCAFG00845000348,UVSSA,ENSG00000163945,UVSSA
ENSCAFG00845000353,MBP,ENSG00000197971,MBP
ENSCAFG00845000354,NLRP5,ENSG00000171487,NLRP5
ENSCAFG00845000357,FST,ENSG00000134363,FST
ENSCAFG00845000358,C1QB,ENSG00000173369,C1QB
ENSCAFG00845000367,TBCB,ENSG00000105254,TBCB
ENSCAFG00845000369,ENSCAFG00845000369,ENSG00000198856,OSTC
ENSCAFG00845000370,EGR2,ENSG00000122877,EGR2
ENSCAFG00845000371,CEP89,ENSG00000121289,CEP89
ENSCAFG00845000372,SNRNP70,ENSG00000104852,SNRNP70
ENSCAFG00845000377,EIF3L,ENSG00000100129,EIF3L
ENSCAFG00845000378,C1QC,ENSG00000159189,C1QC
ENSCAFG00845000379,CASP9,ENSG00000132906,CASP9
ENSCAFG00845000380,NLRP8,ENSG00000179709,NLRP8
ENSCAFG00845000382,LCORL,ENSG00000178177,LCORL
ENSCAFG00845000383,ZNF366,ENSG00000178175,ZNF366
ENSCAFG00845000384,TJP1,ENSG00000104067,TJP1
ENSCAFG00845000387,ENSCAFG00845000387,ENSG00000083812,ZNF324
ENSCAFG00845000387,ENSCAFG00845000387,ENSG00000249471,ZNF324B
ENSCAFG00845000389,MAT2B,ENSG00000038274,MAT2B
ENSCAFG00845000391,USP28,ENSG00000048028,USP28
ENSCAFG00845000392,LZIC,ENSG00000162441,LZIC
ENSCAFG00845000393,CAPSL,ENSG00000168671,UGT3A2
ENSCAFG00845000394,KIF7,ENSG00000166813,KIF7
ENSCAFG00845000395,POLR2I,ENSG00000105258,POLR2I
ENSCAFG00845000398,ENSCAFG00845000398,ENSG00000107929,LARP4B
ENSCAFG00845000399,KCNA7,ENSG00000104848,KCNA7
ENSCAFG00845000400,C1QA,ENSG00000173372,C1QA
ENSCAFG00845000400,C1QA,ENSG00000289692,ENSG00000289692
ENSCAFG00845000401,DHTKD1,ENSG00000181192,DHTKD1
ENSCAFG00845000402,U2,ENSG00000222222,RNU2-17P
ENSCAFG00845000403,NLRP13,ENSG00000173572,NLRP13
ENSCAFG00845000404,NRBF2,ENSG00000148572,NRBF2
ENSCAFG00845000407,ENSCAFG00845000407,ENSG00000090316,MAEA
ENSCAFG00845000408,ENSCAFG00845000408,ENSG00000146374,RSPO3
ENSCAFG00845000410,NTF4,ENSG00000225950,NTF4
ENSCAFG00845000411,TIAM2,ENSG00000146426,TIAM2
ENSCAFG00845000412,ABCG4,ENSG00000172350,ABCG4
ENSCAFG00845000413,SFXN1,ENSG00000164466,SFXN1
ENSCAFG00845000414,TRPM3,ENSG00000083067,TRPM3
ENSCAFG00845000415,SLC25A35,ENSG00000125434,SLC25A35
ENSCAFG00845000416,OVOL3,ENSG00000105261,OVOL3
ENSCAFG00845000417,NMNAT1,ENSG00000173614,NMNAT1
ENSCAFG00845000418,U6,ENSG00000206841,RNU6-409P
ENSCAFG00845000418,U6,ENSG00000274607,RNU6-866P
ENSCAFG00845000418,U6,ENSG00000206641,RNU6-449P
ENSCAFG00845000419,CCBE1,ENSG00000183287,CCBE1
ENSCAFG00845000420,ENSCAFG00845000420,ENSG00000268655,ENSG00000268655
ENSCAFG00845000421,NLRP9,ENSG00000185792,NLRP9
ENSCAFG00845000422,ENSCAFG00845000422,ENSG00000083812,ZNF324
ENSCAFG00845000422,ENSCAFG00845000422,ENSG00000249471,ZNF324B
ENSCAFG00845000423,TNPO1,ENSG00000083312,TNPO1
ENSCAFG00845000424,ZKSCAN2,ENSG00000155592,ZKSCAN2
ENSCAFG00845000425,RBP7,ENSG00000162444,RBP7
ENSCAFG00845000426,UPF2,ENSG00000151461,UPF2
ENSCAFG00845000427,PLIN1,ENSG00000166819,PLIN1
ENSCAFG00845000428,SLC7A9,ENSG00000021488,SLC7A9
ENSCAFG00845000429,DIP2C,ENSG00000151240,DIP2C
ENSCAFG00845000430,WDR62,ENSG00000075702,WDR62
ENSCAFG00845000432,ITGA2,ENSG00000164171,ITGA2
ENSCAFG00845000434,RANGRF,ENSG00000108961,RANGRF
ENSCAFG00845000435,ENSCAFG00845000435,ENSG00000223638,RFPL4A
ENSCAFG00845000435,ENSCAFG00845000435,ENSG00000229292,RFPL4AL1
ENSCAFG00845000436,LYPD3,ENSG00000124466,LYPD3
ENSCAFG00845000437,HINFP,ENSG00000172273,HINFP
ENSCAFG00845000439,RUVBL2,ENSG00000183207,RUVBL2
ENSCAFG00845000440,PROSER2,ENSG00000148426,PROSER2
ENSCAFG00845000442,DRD1,ENSG00000184845,DRD1
ENSCAFG00845000443,LMAN1,ENSG00000074695,LMAN1
ENSCAFG00845000444,ENSCAFG00845000444,ENSG00000162438,CTRC
ENSCAFG00845000445,NCAPG,ENSG00000109805,NCAPG
ENSCAFG00845000448,ZNF236,ENSG00000130856,ZNF236
ENSCAFG00845000449,ENSCAFG00845000449,ENSG00000047662,FAM184B
ENSCAFG00845000450,MSX2,ENSG00000120149,MSX2
ENSCAFG00845000451,AQP8,ENSG00000103375,AQP8
ENSCAFG00845000454,PEX11A,ENSG00000166821,PEX11A
ENSCAFG00845000456,C2CD2L,ENSG00000172375,C2CD2L
ENSCAFG00845000457,EPN1,ENSG00000063245,EPN1
ENSCAFG00845000458,ENSCAFG00845000458,ENSG00000118518,RNF146
ENSCAFG00845000459,ECHDC3,ENSG00000134463,ECHDC3
ENSCAFG00845000460,TEX101,ENSG00000131126,TEX101
ENSCAFG00845000461,HMMR,ENSG00000072571,HMMR
ENSCAFG00845000463,GYS1,ENSG00000104812,GYS1
ENSCAFG00845000464,FBXL17,ENSG00000145743,FBXL17
ENSCAFG00845000466,ZNF132,ENSG00000131849,ZNF132
ENSCAFG00845000467,NSG2,ENSG00000170091,NSG2
ENSCAFG00845000469,THAP8,ENSG00000161277,THAP8
ENSCAFG00845000471,TDRD12,ENSG00000173809,TDRD12
ENSCAFG00845000473,ARHGEF15,ENSG00000198844,ARHGEF15
ENSCAFG00845000474,ENSCAFG00845000474,ENSG00000204936,CD177
ENSCAFG00845000475,DISC1,ENSG00000162946,DISC1
ENSCAFG00845000476,U6,ENSG00000252973,RNU6-1028P
ENSCAFG00845000478,TFB1M,ENSG00000029639,TFB1M
ENSCAFG00845000479,DPAGT1,ENSG00000172269,DPAGT1
ENSCAFG00845000480,U2AF2,ENSG00000063244,U2AF2
ENSCAFG00845000482,CASP12,ENSG00000204403,CASP12
ENSCAFG00845000483,CLDN25,ENSG00000228607,CLDN25
ENSCAFG00845000484,LSM8,ENSG00000128534,LSM8
ENSCAFG00845000485,CLDN20,ENSG00000171217,CLDN20
ENSCAFG00845000486,ENSCAFG00845000486,ENSG00000257529,RPL36A-HNRNPH2
ENSCAFG00845000487,C5orf47,ENSG00000185056,C5orf47
ENSCAFG00845000488,CLIP3,ENSG00000105270,CLIP3
ENSCAFG00845000489,LCMT1,ENSG00000205629,LCMT1
ENSCAFG00845000490,WDR93,ENSG00000140527,WDR93
ENSCAFG00845000491,ECHDC1,ENSG00000093144,ECHDC1
ENSCAFG00845000492,MED28,ENSG00000118579,MED28
ENSCAFG00845000495,RAC1,ENSG00000136238,RAC1
ENSCAFG00845000497,H2AX,ENSG00000188486,H2AX
ENSCAFG00845000498,NUDCD2,ENSG00000170584,NUDCD2
ENSCAFG00845000499,IL7R,ENSG00000168685,IL7R
ENSCAFG00845000500,BAX,ENSG00000087088,BAX
ENSCAFG00845000503,CCDC106,ENSG00000173581,CCDC106
ENSCAFG00845000505,TSNAX-DISC1,ENSG00000270106,TSNAX-DISC1
ENSCAFG00845000506,NOX3,ENSG00000074771,NOX3
ENSCAFG00845000507,ZW10,ENSG00000086827,ZW10
ENSCAFG00845000508,JMJD1C,ENSG00000171988,JMJD1C
ENSCAFG00845000509,EPHA8,ENSG00000070886,EPHA8
ENSCAFG00845000510,LAP3,ENSG00000002549,LAP3
ENSCAFG00845000511,CPEB4,ENSG00000113742,CPEB4
ENSCAFG00845000512,EFNA5,ENSG00000184349,EFNA5
ENSCAFG00845000513,ALKBH6,ENSG00000239382,ALKBH6
ENSCAFG00845000514,ENSCAFG00845000514,ENSG00000287856,ENSG00000287856
ENSCAFG00845000514,ENSCAFG00845000514,ENSG00000135766,EGLN1
ENSCAFG00845000516,NUDT19,ENSG00000213965,NUDT19
ENSCAFG00845000517,ZMYND11,ENSG00000015171,ZMYND11
ENSCAFG00845000518,USP6NL,ENSG00000148429,USP6NL
ENSCAFG00845000519,MOGAT3,ENSG00000106384,MOGAT3
ENSCAFG00845000521,ITGA1,ENSG00000213949,ITGA1
ENSCAFG00845000523,FCHO2,ENSG00000157107,FCHO2
ENSCAFG00845000526,DHDH,ENSG00000104808,DHDH
ENSCAFG00845000529,CPLX4,ENSG00000166569,CPLX4
ENSCAFG00845000531,CCNG1,ENSG00000113328,CCNG1
ENSCAFG00845000532,MESP1,ENSG00000166823,MESP1
ENSCAFG00845000533,ZNF581,ENSG00000171425,ZNF581
ENSCAFG00845000536,ODF4,ENSG00000184650,ODF4
ENSCAFG00845000537,SOGA3,ENSG00000214338,SOGA3
ENSCAFG00845000538,CLRN2,ENSG00000249581,CLRN2
ENSCAFG00845000543,ZNF580,ENSG00000213015,ZNF580
ENSCAFG00845000544,RAX,ENSG00000134438,RAX
ENSCAFG00845000546,TARS3,ENSG00000185418,TARS3
ENSCAFG00845000547,RGS9BP,ENSG00000186326,RGS9BP
ENSCAFG00845000550,MESP2,ENSG00000188095,MESP2
ENSCAFG00845000553,UBE4B,ENSG00000130939,UBE4B
ENSCAFG00845000555,FHAD1,ENSG00000142621,FHAD1
ENSCAFG00845000560,NUCB1,ENSG00000104805,NUCB1
ENSCAFG00845000561,VGF,ENSG00000128564,VGF
ENSCAFG00845000563,ZNF784,ENSG00000179922,ZNF784
ENSCAFG00845000564,ENSCAFG00845000564,ENSG00000228075,BOD1L2
ENSCAFG00845000564,ENSCAFG00845000564,ENSG00000145919,BOD1
ENSCAFG00845000567,U6,ENSG00000222679,RNU6-1267P
ENSCAFG00845000568,ALKBH6,ENSG00000181392,SYNE4
ENSCAFG00845000569,HMBS,ENSG00000256269,HMBS
ENSCAFG00845000570,GRP,ENSG00000134443,GRP
ENSCAFG00845000572,SPRTN,ENSG00000010072,SPRTN
ENSCAFG00845000573,CEACAM1,ENSG00000267881,ENSG00000267881
ENSCAFG00845000573,CEACAM1,ENSG00000221878,PSG7
ENSCAFG00845000573,CEACAM1,ENSG00000183668,PSG9
ENSCAFG00845000573,CEACAM1,ENSG00000243137,PSG4
ENSCAFG00845000573,CEACAM1,ENSG00000105388,CEACAM5
ENSCAFG00845000573,CEACAM1,ENSG00000124469,CEACAM8
ENSCAFG00845000573,CEACAM1,ENSG00000221826,PSG3
ENSCAFG00845000573,CEACAM1,ENSG00000170956,CEACAM3
ENSCAFG00845000573,CEACAM1,ENSG00000242221,PSG2
ENSCAFG00845000573,CEACAM1,ENSG00000086548,CEACAM6
ENSCAFG00845000573,CEACAM1,ENSG00000007306,CEACAM7
ENSCAFG00845000573,CEACAM1,ENSG00000124467,PSG8
ENSCAFG00845000573,CEACAM1,ENSG00000231924,PSG1
ENSCAFG00845000573,CEACAM1,ENSG00000243130,PSG11
ENSCAFG00845000573,CEACAM1,ENSG00000204941,PSG5
ENSCAFG00845000573,CEACAM1,ENSG00000170848,PSG6
ENSCAFG00845000573,CEACAM1,ENSG00000079385,CEACAM1
ENSCAFG00845000576,ZNF865,ENSG00000261221,ZNF865
ENSCAFG00845000577,ZNF584,ENSG00000171574,ZNF584
ENSCAFG00845000578,KRBA2,ENSG00000184619,KRBA2
ENSCAFG00845000579,AP1S1,ENSG00000106367,AP1S1
ENSCAFG00845000580,ARHGAP17,ENSG00000140750,ARHGAP17
ENSCAFG00845000581,TULP2,ENSG00000104804,TULP2
ENSCAFG00845000585,ZNF524,ENSG00000171443,ZNF524
ENSCAFG00845000586,SEC11C,ENSG00000166562,SEC11C
ENSCAFG00845000587,ENSCAFG00845000587,ENSG00000134308,YWHAQ
ENSCAFG00845000589,ANKRD27,ENSG00000105186,ANKRD27
ENSCAFG00845000590,ZNF516,ENSG00000101493,ZNF516
ENSCAFG00845000592,RNF225,ENSG00000269855,RNF225
ENSCAFG00845000595,SPEF2,ENSG00000152582,SPEF2
ENSCAFG00845000596,KIAA0408,ENSG00000189367,KIAA0408
ENSCAFG00845000597,FIZ1,ENSG00000179943,FIZ1
ENSCAFG00845000599,PPP1R15A,ENSG00000087074,PPP1R15A
ENSCAFG00845000600,QDPR,ENSG00000151552,QDPR
ENSCAFG00845000601,ENSCAFG00845000601,ENSG00000169715,MT1E
ENSCAFG00845000604,EXOC8,ENSG00000116903,EXOC8
ENSCAFG00845000605,STC2,ENSG00000113739,STC2
ENSCAFG00845000607,SERPINE1,ENSG00000106366,SERPINE1
ENSCAFG00845000611,SDHAF1,ENSG00000205138,SDHAF1
ENSCAFG00845000612,ENSCAFG00845000612,ENSG00000207935,MIR204
ENSCAFG00845000615,C6orf58,ENSG00000184530,C6orf58
ENSCAFG00845000616,ZNF579,ENSG00000218891,ZNF579
ENSCAFG00845000617,ENSCAFG00845000617,ENSG00000157036,EXOG
ENSCAFG00845000618,GABRG2,ENSG00000113327,GABRG2
ENSCAFG00845000619,TMPRSS5,ENSG00000166682,TMPRSS5
ENSCAFG00845000623,LRFN3,ENSG00000126243,LRFN3
ENSCAFG00845000625,RPS5,ENSG00000083845,RPS5
ENSCAFG00845000626,U6,ENSG00000206807,RNU6-815P
ENSCAFG00845000627,PDGFD,ENSG00000170962,PDGFD
ENSCAFG00845000628,KLF9,ENSG00000119138,KLF9
ENSCAFG00845000629,KIF22,ENSG00000079616,KIF22
ENSCAFG00845000631,TRIM56,ENSG00000169871,TRIM56
ENSCAFG00845000632,RNF222,ENSG00000189051,RNF222
ENSCAFG00845000634,NKX2-5,ENSG00000183072,NKX2-5
ENSCAFG00845000635,PLEKHA4,ENSG00000105559,PLEKHA4
ENSCAFG00845000636,ARID1B,ENSG00000049618,ARID1B
ENSCAFG00845000638,TSHZ1,ENSG00000179981,TSHZ1
ENSCAFG00845000639,ANPEP,ENSG00000166825,ANPEP
ENSCAFG00845000642,GNPAT,ENSG00000116906,GNPAT
ENSCAFG00845000645,ISL1,ENSG00000016082,ISL1
ENSCAFG00845000647,SBK2,ENSG00000187550,SBK2
ENSCAFG00845000649,TYROBP,ENSG00000011600,TYROBP
ENSCAFG00845000650,ENSCAFG00845000650,ENSG00000170967,DDI1
ENSCAFG00845000653,ENSCAFG00845000653,ENSG00000112695,COX7A2
ENSCAFG00845000654,ENSCAFG00845000654,ENSG00000152475,ZNF837
ENSCAFG00845000657,TM2D3,ENSG00000184277,TM2D3
ENSCAFG00845000658,PAIP2,ENSG00000120727,PAIP2
ENSCAFG00845000659,TMEM171,ENSG00000157111,TMEM171
ENSCAFG00845000664,ZADH2,ENSG00000180011,ZADH2
ENSCAFG00845000669,DYNC2H1,ENSG00000187240,DYNC2H1
ENSCAFG00845000670,ZBTB40,ENSG00000184677,ZBTB40
ENSCAFG00845000671,THEMIS,ENSG00000172673,THEMIS
ENSCAFG00845000673,ZNF532,ENSG00000074657,ZNF532
ENSCAFG00845000674,TMEM174,ENSG00000164325,TMEM174
ENSCAFG00845000676,ENSCAFG00845000676,ENSG00000084093,REST
ENSCAFG00845000679,HCST,ENSG00000126264,HCST
ENSCAFG00845000680,PDCD5,ENSG00000105185,PDCD5
ENSCAFG00845000683,HSD17B14,ENSG00000142233,NTN5
ENSCAFG00845000684,U6,ENSG00000201001,RNU6-270P
ENSCAFG00845000686,VPS11,ENSG00000160695,VPS11
ENSCAFG00845000688,ENSCAFG00845000688,ENSG00000251493,FOXD1
ENSCAFG00845000689,A1BG,ENSG00000121410,A1BG
