Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSCAFG00845000074,ENSCAFG00845000074,ENSMUSG00000048620,Olfr1336
ENSCAFG00845000076,ENSCAFG00845000076,ENSMUSG00000096228,Olfr5
ENSCAFG00845000076,ENSCAFG00845000076,ENSMUSG00000048620,Olfr1336
ENSCAFG00845000077,MYCT1,ENSMUSG00000046916,Myct1
ENSCAFG00845000078,ZNF428,ENSMUSG00000064264,Zfp428
ENSCAFG00845000079,SNORA70,ENSMUSG00000088688,Gm24000
ENSCAFG00845000080,ENSCAFG00845000080,ENSMUSG00000030751,Psma1
ENSCAFG00845000082,OR6Z1,ENSMUSG00000034583,Olfr1347
ENSCAFG00845000082,OR6Z1,ENSMUSG00000093877,Olfr1348
ENSCAFG00845000084,SRRM5,ENSMUSG00000117477,Gm50092
ENSCAFG00845000085,VIP,ENSMUSG00000019772,Vip
ENSCAFG00845000086,KCTD15,ENSMUSG00000030499,Kctd15
ENSCAFG00845000087,ENSCAFG00845000087,ENSMUSG00000048067,Olfr1349
ENSCAFG00845000089,HEY2,ENSMUSG00000019789,Hey2
ENSCAFG00845000090,DKKL1,ENSMUSG00000030792,Dkkl1
ENSCAFG00845000092,IARS1,ENSMUSG00000037851,Iars
ENSCAFG00845000093,U6,ENSMUSG00000065291,Gm26125
ENSCAFG00845000096,ENSCAFG00845000096,ENSMUSG00000021707,Dhfr
ENSCAFG00845000097,IRGQ,ENSMUSG00000041037,Irgq
ENSCAFG00845000098,CHST8,ENSMUSG00000060402,Chst8
ENSCAFG00845000099,C1H9orf85,ENSMUSG00000035171,1110059E24Rik
ENSCAFG00845000104,FBXO5,ENSMUSG00000019773,Fbxo5
ENSCAFG00845000107,SMIM17,ENSMUSG00000045929,Gm20715
ENSCAFG00845000107,SMIM17,ENSMUSG00000093536,Smim17
ENSCAFG00845000108,ENSCAFG00845000108,ENSMUSG00000011632,Pinlyp
ENSCAFG00845000111,TEAD2,ENSMUSG00000030796,Tead2
ENSCAFG00845000120,MTRF1L,ENSMUSG00000019774,Mtrf1l
ENSCAFG00845000122,ENSCAFG00845000122,ENSMUSG00000087963,Gm25394
ENSCAFG00845000122,ENSCAFG00845000122,ENSMUSG00000119162,Gm25989
ENSCAFG00845000122,ENSCAFG00845000122,ENSMUSG00000119052,Gm23513
ENSCAFG00845000123,ABHD17B,ENSMUSG00000047368,Abhd17b
ENSCAFG00845000126,ZNF382,ENSMUSG00000074220,Zfp382
ENSCAFG00845000128,PEPD,ENSMUSG00000063931,Pepd
ENSCAFG00845000129,CDH20,ENSMUSG00000050840,Cdh20
ENSCAFG00845000130,ADARB2,ENSMUSG00000052551,Adarb2
ENSCAFG00845000134,ATP9B,ENSMUSG00000024566,Atp9b
ENSCAFG00845000135,XRCC1,ENSMUSG00000051768,Xrcc1
ENSCAFG00845000139,NCOA7,ENSMUSG00000039697,Ncoa7
ENSCAFG00845000141,RGS17,ENSMUSG00000019775,Rgs17
ENSCAFG00845000143,ENSCAFG00845000143,ENSMUSG00000030798,Cd37
ENSCAFG00845000145,MFSD14B,ENSMUSG00000038212,Mfsd14b
ENSCAFG00845000150,AMFR,ENSMUSG00000031751,Amfr
ENSCAFG00845000152,CEBPG,ENSMUSG00000056216,Cebpg
ENSCAFG00845000154,OPTN,ENSMUSG00000026672,Optn
ENSCAFG00845000160,OPRM1,ENSMUSG00000000766,Oprm1
ENSCAFG00845000161,U4,ENSMUSG00000064664,Gm24459
ENSCAFG00845000165,CEMIP2,ENSMUSG00000024754,Cemip2
ENSCAFG00845000166,CCDC3,ENSMUSG00000026676,Ccdc3
ENSCAFG00845000167,ZNF575,ENSMUSG00000066721,Zfp575
ENSCAFG00845000168,SLC7A10,ENSMUSG00000030495,Slc7a10
ENSCAFG00845000173,U6,ENSMUSG00002074989,U6
ENSCAFG00845000177,KDM1A,ENSMUSG00000036940,Kdm1a
ENSCAFG00845000178,ZFP28,ENSMUSG00000062861,Zfp28
ENSCAFG00845000181,TRPM4,ENSMUSG00000038260,Trpm4
ENSCAFG00845000187,ENSCAFG00845000187,ENSMUSG00000030380,Mzf1
ENSCAFG00845000191,SALL3,ENSMUSG00000024565,Sall3
ENSCAFG00845000193,MCCC2,ENSMUSG00000021646,Mccc2
ENSCAFG00845000194,CAMK1D,ENSMUSG00000039145,Camk1d
ENSCAFG00845000195,LRP3,ENSMUSG00000001802,Lrp3
ENSCAFG00845000200,UBE2M,ENSMUSG00000005575,Ube2m
ENSCAFG00845000203,SLC6A16,ENSMUSG00000094152,Slc6a16
ENSCAFG00845000204,ZNF146,ENSMUSG00000037029,Zfp146
ENSCAFG00845000205,CNKSR3,ENSMUSG00000015202,Cnksr3
ENSCAFG00845000206,CHMP2A,ENSMUSG00000033916,Chmp2a
ENSCAFG00845000209,WDR88,ENSMUSG00000118454,Wdr88
ENSCAFG00845000210,CDC123,ENSMUSG00000039128,Cdc123
ENSCAFG00845000211,ZNF667,ENSMUSG00000054893,Zfp667
ENSCAFG00845000212,PJA2,ENSMUSG00000024083,Pja2
ENSCAFG00845000213,TMEM129,ENSMUSG00000019295,Tmem129
ENSCAFG00845000215,MSANTD4,ENSMUSG00000041124,Msantd4
ENSCAFG00845000216,CARTPT,ENSMUSG00000021647,Cartpt
ENSCAFG00845000217,MAP10,ENSMUSG00000050930,Map10
ENSCAFG00845000219,COX7A1,ENSMUSG00000074218,Cox7a1
ENSCAFG00845000220,ZBTB16,ENSMUSG00000066687,Zbtb16
ENSCAFG00845000222,CBL,ENSMUSG00000034342,Cbl
ENSCAFG00845000223,TRIM28,ENSMUSG00000005566,Trim28
ENSCAFG00845000224,ENSCAFG00845000224,ENSMUSG00000070568,Slc6a21
ENSCAFG00845000226,MAP1B,ENSMUSG00000052727,Map1b
ENSCAFG00845000227,ENSCAFG00845000227,ENSMUSG00000093238,Mir9-3
ENSCAFG00845000230,ZNF583,ENSMUSG00000030443,Zfp583
ENSCAFG00845000233,WDR37,ENSMUSG00000021147,Wdr37
ENSCAFG00845000239,PHLDB3,ENSMUSG00000074277,Phldb3
ENSCAFG00845000240,ENSCAFG00845000240,ENSMUSG00000078515,Ddi2
ENSCAFG00845000240,ENSCAFG00845000240,ENSMUSG00000040715,Rsc1a1
ENSCAFG00845000242,ENSCAFG00845000242,ENSMUSG00000030518,Fam189a1
ENSCAFG00845000245,ENSCAFG00845000245,ENSMUSG00000064556,Gm24625
ENSCAFG00845000246,HTR3A,ENSMUSG00000032269,Htr3a
ENSCAFG00845000247,HRC,ENSMUSG00000038239,Hrc
ENSCAFG00845000249,U6,ENSMUSG00002075749,U6
ENSCAFG00845000251,ENSCAFG00845000251,ENSMUSG00000053367,Epp13
ENSCAFG00845000256,TRMT11,ENSMUSG00000019792,Trmt11
ENSCAFG00845000257,GPATCH1,ENSMUSG00000063808,Gpatch1
ENSCAFG00845000259,CCDC153,ENSMUSG00000070306,Ccdc153
ENSCAFG00845000261,SLBP,ENSMUSG00000004642,Slbp
ENSCAFG00845000266,ARL15,ENSMUSG00000042348,Arl15
ENSCAFG00845000267,NUDT5,ENSMUSG00000025817,Nudt5
ENSCAFG00845000271,TEX46,ENSMUSG00000036921,Tex46
ENSCAFG00845000272,ZSCAN5B,ENSMUSG00000058028,Zscan5b
ENSCAFG00845000273,MRPS27,ENSMUSG00000041632,Mrps27
ENSCAFG00845000275,GALR1,ENSMUSG00000024553,Galr1
ENSCAFG00845000278,CAPNS1,ENSMUSG00000001794,Capns1
ENSCAFG00845000279,GRIA4,ENSMUSG00000025892,Gria4
ENSCAFG00845000280,MC4R,ENSMUSG00000047259,Mc4r
ENSCAFG00845000281,AGMAT,ENSMUSG00000040706,Agmat
ENSCAFG00845000283,LACTBL1,ENSMUSG00000070683,Lactbl1
ENSCAFG00845000284,GALP,ENSMUSG00000034660,Galp
ENSCAFG00845000286,PPFIA3,ENSMUSG00000003863,Ppfia3
ENSCAFG00845000287,RHPN2,ENSMUSG00000030494,Rhpn2
ENSCAFG00845000288,PFAS,ENSMUSG00000020899,Pfas
ENSCAFG00845000289,HTR3B,ENSMUSG00000008590,Htr3b
ENSCAFG00845000294,SCAF8,ENSMUSG00000046201,Scaf8
ENSCAFG00845000295,RHCG,ENSMUSG00000030549,Rhcg
ENSCAFG00845000297,IDI1,ENSMUSG00000058258,Idi1
ENSCAFG00845000302,FAM53A,ENSMUSG00000037339,Fam53a
ENSCAFG00845000304,PMAIP1,ENSMUSG00000024521,Pmaip1
ENSCAFG00845000305,Metazoa_SRP,ENSMUSG00000093064,Gm23153
ENSCAFG00845000306,U6,ENSMUSG00000064867,Gm25039
ENSCAFG00845000307,ZNF444,ENSMUSG00000044876,Zfp444
ENSCAFG00845000308,ZBTB45,ENSMUSG00000030382,Slc27a5
ENSCAFG00845000309,ENSCAFG00845000309,ENSMUSG00000065603,Mir218-1
ENSCAFG00845000310,HRH2,ENSMUSG00000034987,Hrh2
ENSCAFG00845000312,U4,ENSMUSG00000065811,Gm25179
ENSCAFG00845000315,DNAJC16,ENSMUSG00000040697,Dnajc16
ENSCAFG00845000316,SIPA1L2,ENSMUSG00000001995,Sipa1l2
ENSCAFG00845000317,NKX1-1,ENSMUSG00000029112,Nkx1-1
ENSCAFG00845000319,GNAO1,ENSMUSG00000031748,Gnao1
ENSCAFG00845000320,PDZD3,ENSMUSG00000032105,Pdzd3
ENSCAFG00845000321,GTPBP4,ENSMUSG00000021149,Gtpbp4
ENSCAFG00845000323,EPHB2,ENSMUSG00000028664,Ephb2
ENSCAFG00845000327,CENPW,ENSMUSG00000075266,Cenpw
ENSCAFG00845000329,ZNF787,ENSMUSG00000046792,Zfp787
ENSCAFG00845000330,PTCD2,ENSMUSG00000021650,Ptcd2
ENSCAFG00845000331,FAAP24,ENSMUSG00000030493,Faap24
ENSCAFG00845000334,ENSCAFG00845000334,ENSMUSG00000024966,Stip1
ENSCAFG00845000336,U6,ENSMUSG00000084714,Gm24631
ENSCAFG00845000338,SEC61A2,ENSMUSG00000025816,Sec61a2
ENSCAFG00845000339,FER,ENSMUSG00000000127,Fer
ENSCAFG00845000340,LIN7B,ENSMUSG00000003872,Lin7b
ENSCAFG00845000341,TICRR,ENSMUSG00000046591,Ticrr
ENSCAFG00845000343,U6,ENSMUSG00000119086,Gm23932
ENSCAFG00845000344,ADO,ENSMUSG00000057134,Ado
ENSCAFG00845000348,UVSSA,ENSMUSG00000037355,Uvssa
ENSCAFG00845000353,MBP,ENSMUSG00000041607,Mbp
ENSCAFG00845000354,NLRP5,ENSMUSG00000015721,Nlrp5
ENSCAFG00845000357,FST,ENSMUSG00000021765,Fst
ENSCAFG00845000358,C1QB,ENSMUSG00000036905,C1qb
ENSCAFG00845000359,U3,ENSMUSG00000119079,Gm24949
ENSCAFG00845000359,U3,ENSMUSG00000065629,Gm24826
ENSCAFG00845000359,U3,ENSMUSG00000065883,U3
ENSCAFG00845000359,U3,ENSMUSG00000119648,Snord3b3
ENSCAFG00845000359,U3,ENSMUSG00000119851,Snord3b4
ENSCAFG00845000359,U3,ENSMUSG00000064776,Gm25203
ENSCAFG00845000359,U3,ENSMUSG00000064400,Snord3b-ps1
ENSCAFG00845000359,U3,ENSMUSG00000119262,Snord3b1
ENSCAFG00845000359,U3,ENSMUSG00000119761,Snord3b2
ENSCAFG00845000367,TBCB,ENSMUSG00000006095,Tbcb
ENSCAFG00845000370,EGR2,ENSMUSG00000037868,Egr2
ENSCAFG00845000371,CEP89,ENSMUSG00000023072,Cep89
ENSCAFG00845000372,SNRNP70,ENSMUSG00000063511,Snrnp70
ENSCAFG00845000375,CASP4,ENSMUSG00000033538,Casp4
ENSCAFG00845000376,U6,ENSMUSG00000065657,Gm25337
ENSCAFG00845000377,EIF3L,ENSMUSG00000033047,Eif3l
ENSCAFG00845000378,C1QC,ENSMUSG00000036896,C1qc
ENSCAFG00845000379,CASP9,ENSMUSG00000028914,Casp9
ENSCAFG00845000382,LCORL,ENSMUSG00000015882,Lcorl
ENSCAFG00845000383,ZNF366,ENSMUSG00000050919,Zfp366
ENSCAFG00845000384,TJP1,ENSMUSG00000030516,Tjp1
ENSCAFG00845000386,U6,ENSMUSG00000064632,Gm25142
ENSCAFG00845000387,ENSCAFG00845000387,ENSMUSG00000004500,Zfp324
ENSCAFG00845000389,MAT2B,ENSMUSG00000042032,Mat2b
ENSCAFG00845000391,USP28,ENSMUSG00000032267,Usp28
ENSCAFG00845000392,LZIC,ENSMUSG00000028990,Lzic
ENSCAFG00845000393,CAPSL,ENSMUSG00000072664,Ugt3a1
ENSCAFG00845000393,CAPSL,ENSMUSG00000049152,Ugt3a2
ENSCAFG00845000394,KIF7,ENSMUSG00000050382,Kif7
ENSCAFG00845000395,POLR2I,ENSMUSG00000019738,Polr2i
ENSCAFG00845000398,ENSCAFG00845000398,ENSMUSG00000033499,Larp4b
ENSCAFG00845000399,KCNA7,ENSMUSG00000038201,Kcna7
ENSCAFG00845000400,C1QA,ENSMUSG00000036887,C1qa
ENSCAFG00845000401,DHTKD1,ENSMUSG00000025815,Dhtkd1
ENSCAFG00845000402,U2,ENSMUSG00000065622,Gm24763
ENSCAFG00845000404,NRBF2,ENSMUSG00000075000,Nrbf2
ENSCAFG00845000406,ENSCAFG00845000406,ENSMUSG00000045022,H2bl1
ENSCAFG00845000407,ENSCAFG00845000407,ENSMUSG00000079562,Maea
ENSCAFG00845000408,ENSCAFG00845000408,ENSMUSG00000019880,Rspo3
ENSCAFG00845000410,NTF4,ENSMUSG00000074121,Ntf5
ENSCAFG00845000411,TIAM2,ENSMUSG00000023800,Tiam2
ENSCAFG00845000412,ABCG4,ENSMUSG00000032131,Abcg4
ENSCAFG00845000413,SFXN1,ENSMUSG00000021474,Sfxn1
ENSCAFG00845000414,TRPM3,ENSMUSG00000052387,Trpm3
ENSCAFG00845000415,SLC25A35,ENSMUSG00000018740,Slc25a35
ENSCAFG00845000416,OVOL3,ENSMUSG00000100512,Ovol3
ENSCAFG00845000417,NMNAT1,ENSMUSG00000028992,Nmnat1
ENSCAFG00845000419,CCBE1,ENSMUSG00000046318,Ccbe1
ENSCAFG00845000420,ENSCAFG00845000420,ENSMUSG00000118462,Lhb
ENSCAFG00845000421,NLRP9,ENSMUSG00000040614,Nlrp9c
ENSCAFG00845000421,NLRP9,ENSMUSG00000054102,Nlrp9a
ENSCAFG00845000421,NLRP9,ENSMUSG00000060508,Nlrp9b
ENSCAFG00845000422,ENSCAFG00845000422,ENSMUSG00000004500,Zfp324
ENSCAFG00845000423,TNPO1,ENSMUSG00000009470,Tnpo1
ENSCAFG00845000424,ZKSCAN2,ENSMUSG00000030757,Zkscan2
ENSCAFG00845000425,RBP7,ENSMUSG00000028996,Rbp7
ENSCAFG00845000426,UPF2,ENSMUSG00000043241,Upf2
ENSCAFG00845000427,PLIN1,ENSMUSG00000030546,Plin1
ENSCAFG00845000428,SLC7A9,ENSMUSG00000030492,Slc7a9
ENSCAFG00845000429,DIP2C,ENSMUSG00000048264,Dip2c
ENSCAFG00845000430,WDR62,ENSMUSG00000037020,Wdr62
ENSCAFG00845000432,ITGA2,ENSMUSG00000015533,Itga2
ENSCAFG00845000434,RANGRF,ENSMUSG00000032892,Rangrf
ENSCAFG00845000435,ENSCAFG00845000435,ENSMUSG00000035191,Rfpl4
ENSCAFG00845000436,LYPD3,ENSMUSG00000057454,Lypd3
ENSCAFG00845000437,HINFP,ENSMUSG00000032119,Hinfp
ENSCAFG00845000439,RUVBL2,ENSMUSG00000003868,Ruvbl2
ENSCAFG00845000440,PROSER2,ENSMUSG00000045319,Proser2
ENSCAFG00845000442,DRD1,ENSMUSG00000021478,Drd1
ENSCAFG00845000443,LMAN1,ENSMUSG00000041891,Lman1
ENSCAFG00845000445,NCAPG,ENSMUSG00000015880,Ncapg
ENSCAFG00845000448,ZNF236,ENSMUSG00000041258,Zfp236
ENSCAFG00845000449,ENSCAFG00845000449,ENSMUSG00000015879,Fam184b
ENSCAFG00845000450,MSX2,ENSMUSG00000021469,Msx2
ENSCAFG00845000451,AQP8,ENSMUSG00000030762,Aqp8
ENSCAFG00845000453,CES5A,ENSMUSG00000031725,Ces1f
ENSCAFG00845000453,CES5A,ENSMUSG00000071047,Ces1a
ENSCAFG00845000453,CES5A,ENSMUSG00000061959,Ces1e
ENSCAFG00845000454,PEX11A,ENSMUSG00000030545,Pex11a
ENSCAFG00845000456,C2CD2L,ENSMUSG00000032120,C2cd2l
ENSCAFG00845000457,EPN1,ENSMUSG00000035203,Epn1
ENSCAFG00845000458,ENSCAFG00845000458,ENSMUSG00000038876,Rnf146
ENSCAFG00845000459,ECHDC3,ENSMUSG00000039063,Echdc3
ENSCAFG00845000460,TEX101,ENSMUSG00000062773,Tex101
ENSCAFG00845000461,HMMR,ENSMUSG00000020330,Hmmr
ENSCAFG00845000463,GYS1,ENSMUSG00000003865,Gys1
ENSCAFG00845000464,FBXL17,ENSMUSG00000023965,Fbxl17
ENSCAFG00845000467,NSG2,ENSMUSG00000020297,Nsg2
ENSCAFG00845000471,TDRD12,ENSMUSG00000030491,Tdrd12
ENSCAFG00845000473,ARHGEF15,ENSMUSG00000052921,Arhgef15
ENSCAFG00845000474,ENSCAFG00845000474,ENSMUSG00000052212,Cd177
ENSCAFG00845000475,DISC1,ENSMUSG00000043051,Disc1
ENSCAFG00845000478,TFB1M,ENSMUSG00000036983,Tfb1m
ENSCAFG00845000479,DPAGT1,ENSMUSG00000032123,Dpagt1
ENSCAFG00845000480,U2AF2,ENSMUSG00000030435,U2af2
ENSCAFG00845000482,CASP12,ENSMUSG00000025887,Casp12
ENSCAFG00845000484,LSM8,ENSMUSG00000044155,Lsm8
ENSCAFG00845000487,C5orf47,ENSMUSG00000020299,4930524B15Rik
ENSCAFG00845000488,CLIP3,ENSMUSG00000013921,Clip3
ENSCAFG00845000489,LCMT1,ENSMUSG00000030763,Lcmt1
ENSCAFG00845000490,WDR93,ENSMUSG00000039099,Wdr93
ENSCAFG00845000491,ECHDC1,ENSMUSG00000019883,Echdc1
ENSCAFG00845000492,MED28,ENSMUSG00000015804,Med28
ENSCAFG00845000495,RAC1,ENSMUSG00000001847,Rac1
ENSCAFG00845000497,H2AX,ENSMUSG00000049932,H2ax
ENSCAFG00845000498,NUDCD2,ENSMUSG00000020328,Nudcd2
ENSCAFG00845000499,IL7R,ENSMUSG00000003882,Il7r
ENSCAFG00845000500,BAX,ENSMUSG00000003873,Bax
ENSCAFG00845000503,CCDC106,ENSMUSG00000035228,Ccdc106
ENSCAFG00845000505,TSNAX-DISC1,ENSMUSG00000056820,Tsnax
ENSCAFG00845000506,NOX3,ENSMUSG00000023802,Nox3
ENSCAFG00845000507,ZW10,ENSMUSG00000032264,Zw10
ENSCAFG00845000508,JMJD1C,ENSMUSG00000037876,Jmjd1c
ENSCAFG00845000509,EPHA8,ENSMUSG00000028661,Epha8
ENSCAFG00845000510,LAP3,ENSMUSG00000039682,Lap3
ENSCAFG00845000511,CPEB4,ENSMUSG00000020300,Cpeb4
ENSCAFG00845000512,EFNA5,ENSMUSG00000048915,Efna5
ENSCAFG00845000513,ALKBH6,ENSMUSG00000042831,Alkbh6
ENSCAFG00845000514,ENSCAFG00845000514,ENSMUSG00000031987,Egln1
ENSCAFG00845000516,NUDT19,ENSMUSG00000034875,Nudt19
ENSCAFG00845000517,ZMYND11,ENSMUSG00000021156,Zmynd11
ENSCAFG00845000518,USP6NL,ENSMUSG00000039046,Usp6nl
ENSCAFG00845000521,ITGA1,ENSMUSG00000042284,Itga1
ENSCAFG00845000522,ARHGEF15,ENSMUSG00000032921,Odf4
ENSCAFG00845000523,FCHO2,ENSMUSG00000041685,Fcho2
ENSCAFG00845000526,DHDH,ENSMUSG00000011382,Dhdh
ENSCAFG00845000526,DHDH,ENSMUSG00000109926,Gm45808
ENSCAFG00845000529,CPLX4,ENSMUSG00000024519,Cplx4
ENSCAFG00845000531,CCNG1,ENSMUSG00000020326,Ccng1
ENSCAFG00845000532,MESP1,ENSMUSG00000030544,Mesp1
ENSCAFG00845000537,SOGA3,ENSMUSG00000038916,Soga3
ENSCAFG00845000538,CLRN2,ENSMUSG00000049530,Clrn2
ENSCAFG00845000541,U6,ENSMUSG00000064591,Gm22302
ENSCAFG00845000542,U1,ENSMUSG00000064987,Gm25260
ENSCAFG00845000543,ZNF580,ENSMUSG00000055633,Zfp580
ENSCAFG00845000544,RAX,ENSMUSG00000024518,Rax
ENSCAFG00845000546,TARS3,ENSMUSG00000030515,Tarsl2
ENSCAFG00845000547,RGS9BP,ENSMUSG00000056043,Rgs9bp
ENSCAFG00845000550,MESP2,ENSMUSG00000030543,Mesp2
ENSCAFG00845000553,UBE4B,ENSMUSG00000028960,Ube4b
ENSCAFG00845000555,FHAD1,ENSMUSG00000051435,Fhad1
ENSCAFG00845000560,NUCB1,ENSMUSG00000030824,Nucb1
ENSCAFG00845000561,VGF,ENSMUSG00000037428,Vgf
ENSCAFG00845000563,ZNF784,ENSMUSG00000043290,Zfp784
ENSCAFG00845000564,ENSCAFG00845000564,ENSMUSG00000044502,Bod1
ENSCAFG00845000565,U2,ENSMUSG00000089183,Gm22946
ENSCAFG00845000567,U6,ENSMUSG00000084714,Gm24631
ENSCAFG00845000568,ALKBH6,ENSMUSG00000019737,Syne4
ENSCAFG00845000569,HMBS,ENSMUSG00000032126,Hmbs
ENSCAFG00845000570,GRP,ENSMUSG00000024517,Grp
ENSCAFG00845000572,SPRTN,ENSMUSG00000031986,Sprtn
ENSCAFG00845000573,CEACAM1,ENSMUSG00000074272,Ceacam1
ENSCAFG00845000573,CEACAM1,ENSMUSG00000054169,Ceacam10
ENSCAFG00845000573,CEACAM1,ENSMUSG00000054385,Ceacam2
ENSCAFG00845000576,ZNF865,ENSMUSG00000074405,Zfp865
ENSCAFG00845000577,ZNF584,ENSMUSG00000000103,Zfy2
ENSCAFG00845000577,ZNF584,ENSMUSG00000053211,Zfy1
ENSCAFG00845000579,AP1S1,ENSMUSG00000004849,Ap1s1
ENSCAFG00845000580,ARHGAP17,ENSMUSG00000030766,Arhgap17
ENSCAFG00845000581,TULP2,ENSMUSG00000023467,Tulp2
ENSCAFG00845000585,ZNF524,ENSMUSG00000051184,Zfp524
ENSCAFG00845000585,ZNF524,ENSMUSG00000109129,Gm44973
ENSCAFG00845000586,SEC11C,ENSMUSG00000024516,Sec11c
ENSCAFG00845000587,ENSCAFG00845000587,ENSMUSG00000076432,Ywhaq
ENSCAFG00845000589,ANKRD27,ENSMUSG00000034867,Ankrd27
ENSCAFG00845000590,ZNF516,ENSMUSG00000058881,Zfp516
ENSCAFG00845000592,RNF225,ENSMUSG00000033967,Rnf225
ENSCAFG00845000594,ENSCAFG00845000594,ENSMUSG00000074210,E130208F15Rik
ENSCAFG00845000595,SPEF2,ENSMUSG00000072663,Spef2
ENSCAFG00845000596,KIAA0408,ENSMUSG00000004360,9330159F19Rik
ENSCAFG00845000597,FIZ1,ENSMUSG00000061374,Fiz1
ENSCAFG00845000599,PPP1R15A,ENSMUSG00000040435,Ppp1r15a
ENSCAFG00845000600,QDPR,ENSMUSG00000015806,Qdpr
ENSCAFG00845000604,EXOC8,ENSMUSG00000074030,Exoc8
ENSCAFG00845000605,STC2,ENSMUSG00000020303,Stc2
ENSCAFG00845000606,U6,ENSMUSG00000119782,Gm25698
ENSCAFG00845000607,SERPINE1,ENSMUSG00000037411,Serpine1
ENSCAFG00845000611,SDHAF1,ENSMUSG00000074211,Sdhaf1
ENSCAFG00845000612,ENSCAFG00845000612,ENSMUSG00000065507,Mir204
ENSCAFG00845000613,ENSCAFG00845000613,ENSMUSG00000046610,Oacyl
ENSCAFG00845000615,C6orf58,ENSMUSG00000015519,2310057J18Rik
ENSCAFG00845000616,ZNF579,ENSMUSG00000051550,Zfp579
ENSCAFG00845000617,ENSCAFG00845000617,ENSMUSG00000042787,Exog
ENSCAFG00845000618,GABRG2,ENSMUSG00000020436,Gabrg2
ENSCAFG00845000619,TMPRSS5,ENSMUSG00000032268,Tmprss5
ENSCAFG00845000623,LRFN3,ENSMUSG00000036957,Lrfn3
ENSCAFG00845000625,RPS5,ENSMUSG00000012848,Rps5
ENSCAFG00845000627,PDGFD,ENSMUSG00000032006,Pdgfd
ENSCAFG00845000628,KLF9,ENSMUSG00000033863,Klf9
ENSCAFG00845000629,KIF22,ENSMUSG00000030677,Kif22
ENSCAFG00845000631,TRIM56,ENSMUSG00000043279,Trim56
ENSCAFG00845000632,RNF222,ENSMUSG00000046490,Rnf222
ENSCAFG00845000634,NKX2-5,ENSMUSG00000015579,Nkx2-5
ENSCAFG00845000635,PLEKHA4,ENSMUSG00000040428,Plekha4
